plane u v itype typecode x0 y0 irot nvertices vx_0 vy_0 vx_1 vy_1 vx_2 vy_2 vx_3 vy_3 vx_4 vy_4 vx_5 vy_5 vx_6 vy_6 icassette trigRate trigLinks dataRate_ld dataLinks_ld dataRate_hd dataLinks_hd MB wagon isEngine nROCs power mrot phi HDorLD hash hash_hdld isSiPM engine_trig_fibres engine_data_fibres engine_ctrl_fibres dataPp0 trigPp0 dataPp0_type trigPp0_type dataPp1 trigPp1 dataPp1_type trigPp1_type dataPp2 DAQ
1 2 2 gIe MH-B1W 167.638 295.097 4.000 6 83.790 343.529 83.817 321.575 232.513 235.725 251.453 246.729 251.437 343.502 167.606 391.902 83.790 343.529 2 6.631 7.000 3.184 4.000 3.184 4.000 100 0 False 6 7.200 0 60.400 1 102020 102021 0 3 2 2 PP0(CE-)L1/C02_FO_1_2 PP0(CE-)L1/C02_FO_2_2 A A PP1(CE-)11_FO_1_2 PP1(CE-)9_FO_2_2 Ap Ap PPFO(CE-)X5_19 DAQ_2_6
1 2 3 FI MH-F2W 83.818 440.277 4.000 6 167.693 391.852 167.590 488.675 83.846 537.025 -0.057 488.702 0.046 391.879 83.790 343.529 167.693 391.852 2 7.039 8.000 2.840 3.000 3.391 4.000 101 0 False 6 7.200 0 79.221 1 102030 102031 0 4 2 2 PP0(CE-)L1/C02_FO_1_2 PP0(CE-)L1/C02_FO_2_3 A B PP1(CE-)11_FO_1_2 PP1(CE-)9_FO_2_3 Ap Ap PPFO(CE-)X5_19 DAQ_2_6
1 2 4 FI MH-F2W -0.002 585.457 4.000 6 83.846 537.025 83.743 633.848 -0.088 682.248 -83.817 633.825 -83.888 537.102 -0.057 488.702 83.846 537.025 2 5.070 6.000 2.068 3.000 2.210 3.000 103 0 False 6 7.200 0 90.000 1 102040 102041 0 2 1 1 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_13 DAQ_2_2
1 2 5 FI MH-F2W -83.813 730.632 4.000 6 -0.088 682.248 0.033 779.057 -83.798 827.457 -167.664 778.998 -167.648 682.225 -83.817 633.825 -0.088 682.248 2 3.661 4.000 1.568 2.000 1.605 2.000 103 0 False 6 7.200 0 96.544 1 102050 102051 0 2 1 1 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_13 DAQ_2_2
1 2 6 FM ML-F3W -167.641 875.818 5.000 6 -83.798 827.457 -83.814 924.230 -167.645 972.630 -251.461 924.257 -251.495 827.398 -167.664 778.998 -83.798 827.457 2 2.903 3.000 1.008 2.000 0.983 1.000 105 1 False 3 3.600 0 100.836 0 102060 102060 0 2 1 1 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_13 DAQ_2_2
1 2 7 FO ML-F3W -251.460 1020.998 5.000 6 -167.645 972.630 -167.661 1069.403 -251.492 1117.803 -335.221 1069.380 -335.292 972.657 -251.461 924.257 -167.645 972.630 2 2.412 3.000 0.802 1.000 0.763 1.000 105 1 False 3 3.600 0 103.836 0 102070 102070 0 2 1 1 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_13 DAQ_2_2
1 2 8 FO ML-F3W -335.280 1166.178 5.000 6 -251.492 1117.803 -251.421 1214.526 -335.339 1262.976 -419.068 1214.553 -419.139 1117.830 -335.221 1069.380 -251.492 1117.803 2 2.144 3.000 0.647 1.000 0.620 1.000 105 0 True 3 3.600 0 106.040 0 102080 102080 0 2 1 1 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_13 DAQ_2_2
1 2 9 FOe ML-F3W -419.099 1311.358 5.000 6 -335.339 1262.976 -335.268 1359.699 -419.099 1408.099 -502.915 1359.726 -502.899 1262.953 -419.068 1214.553 -335.339 1262.976 2 1.545 2.000 0.589 1.000 0.589 1.000 105 0 False 3 3.600 0 107.723 0 102090 102090 0 2 1 1 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_13 DAQ_2_2
1 3 0 FI MH-F2W 507.020 2.370 3.000 6 507.000 -94.400 590.800 -46.000 590.800 50.700 507.000 99.200 423.200 50.700 423.200 -46.000 507.000 -94.400 1 5.997 7.000 2.442 3.000 2.764 3.000 0 0 False 6 7.200 0 0.268 1 103000 103001 0 3 2 2 PP0(CE-)L1/C01_FO_1_2 PP0(CE-)L1/C01_FO_2_2 A A PP1(CE-)5_FO_1_2 PP1(CE-)3_FO_2_2 Ap Ap PPFO(CE-)X5_9 DAQ_1_6
1 3 1 FI MH-F2W 423.200 147.550 3.000 6 423.200 50.700 507.000 99.200 507.000 195.900 423.200 244.400 339.400 195.900 339.400 99.200 423.200 50.700 1 7.039 8.000 2.840 3.000 3.391 4.000 1 0 False 6 7.200 0 19.221 1 103010 103011 0 4 2 2 PP0(CE-)L1/C01_FO_1_2 PP0(CE-)L1/C01_FO_2_3 A B PP1(CE-)5_FO_1_2 PP1(CE-)3_FO_2_3 Ap Ap PPFO(CE-)X5_9 DAQ_1_6
1 3 2 FI MH-F2W 339.380 292.730 4.000 6 339.400 195.900 423.200 244.400 423.200 341.200 339.400 389.500 255.600 341.200 255.600 244.400 339.400 195.900 1 7.044 8.000 2.841 3.000 3.392 4.000 2 0 False 6 7.200 0 40.779 1 103020 103021 0 3 2 2 PP0(CE-)L1/C01_FO_1_3 PP0(CE-)L1/C01_FO_2_2 C A PP1(CE-)5_FO_1_3 PP1(CE-)3_FO_2_2 Ap Ap PPFO(CE-)X5_5 DAQ_1_3
1 3 3 FI MH-F2W 251.458 440.277 4.000 6 335.253 391.875 335.237 488.648 251.493 536.998 167.590 488.675 167.693 391.852 251.437 343.502 335.253 391.875 2 5.997 7.000 2.442 3.000 2.764 3.000 100 0 False 6 7.200 0 60.268 1 103030 103031 0 3 2 2 PP0(CE-)L1/C02_FO_1_2 PP0(CE-)L1/C02_FO_2_2 A A PP1(CE-)11_FO_1_2 PP1(CE-)9_FO_2_2 Ap Ap PPFO(CE-)X5_19 DAQ_2_6
1 3 4 FI MH-F2W 167.638 585.457 4.000 6 251.493 536.998 251.440 633.907 167.696 682.257 83.743 633.848 83.846 537.025 167.590 488.675 251.493 536.998 2 4.835 5.000 1.971 3.000 2.086 3.000 101 0 False 6 7.200 0 74.022 1 103040 103041 0 4 2 2 PP0(CE-)L1/C02_FO_1_2 PP0(CE-)L1/C02_FO_2_3 A B PP1(CE-)11_FO_1_2 PP1(CE-)9_FO_2_3 Ap Ap PPFO(CE-)X5_19 DAQ_2_6
1 3 5 FI MH-F2W 83.818 730.638 4.000 6 167.696 682.257 167.593 779.080 83.762 827.480 0.033 779.057 -0.088 682.248 83.743 633.848 167.696 682.257 2 3.693 4.000 1.568 2.000 1.607 2.000 103 0 True 6 7.200 0 83.456 1 103050 103051 0 2 1 1 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_13 DAQ_2_2
1 3 6 FM ML-F3W 0.007 875.813 5.000 6 83.762 827.480 83.833 924.203 0.002 972.603 -83.814 924.230 -83.798 827.457 0.033 779.057 83.762 827.480 2 2.990 4.000 1.045 2.000 1.020 2.000 106 1 False 3 3.600 0 90.000 0 103060 103060 0 2 1 1 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_13 DAQ_2_2
1 3 7 FO ML-F3W -83.821 1020.998 5.000 6 0.002 972.603 -0.014 1069.376 -83.845 1117.776 -167.661 1069.403 -167.645 972.630 -83.814 924.230 0.002 972.603 2 2.513 3.000 0.834 1.000 0.793 1.000 106 1 False 3 3.600 0 94.693 0 103070 103070 0 2 1 1 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_13 DAQ_2_2
1 3 8 FO ML-F3W -167.640 1166.178 5.000 6 -83.845 1117.776 -83.861 1214.549 -167.692 1262.949 -251.421 1214.526 -251.492 1117.803 -167.661 1069.403 -83.845 1117.776 2 2.169 3.000 0.680 1.000 0.649 1.000 106 0 True 3 3.600 0 98.180 0 103080 103080 0 2 1 1 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_13 DAQ_2_2
1 3 9 FO ML-F3W -251.465 1311.350 5.000 6 -167.692 1262.949 -167.571 1359.759 -251.489 1408.209 -335.268 1359.699 -335.339 1262.976 -251.421 1214.526 -167.692 1262.949 2 1.643 2.000 0.547 1.000 0.536 1.000 106 0 False 3 3.600 0 100.855 0 103090 103090 0 2 1 1 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_13 DAQ_2_2
1 3 10 aOeT ML-T3W -335.279 1456.539 5.000 4 -251.418 1504.932 -419.099 1408.099 -335.268 1359.699 -251.489 1408.209 -251.418 1504.932 0.000 0.000 0.000 0.000 2 0.984 2.000 0.227 1.000 0.227 1.000 106 0 False 3 3.600 0 102.963 0 103100 103100 0 2 1 1 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_13 DAQ_2_2
1 4 0 FI MH-F2W 674.660 2.370 3.000 6 674.700 -94.400 758.500 -46.000 758.500 50.700 674.700 99.200 590.800 50.700 590.800 -46.000 674.700 -94.400 1 4.185 5.000 1.738 2.000 1.808 2.000 0 0 True 6 7.200 0 0.201 1 104000 104001 0 3 2 2 PP0(CE-)L1/C01_FO_1_2 PP0(CE-)L1/C01_FO_2_2 A A PP1(CE-)5_FO_1_2 PP1(CE-)3_FO_2_2 Ap Ap PPFO(CE-)X5_9 DAQ_1_6
1 4 1 FI MH-F2W 590.840 147.550 3.000 6 590.800 50.700 674.700 99.200 674.700 195.900 590.800 244.400 507.000 195.900 507.000 99.200 590.800 50.700 1 4.835 5.000 1.971 3.000 2.086 3.000 1 0 False 6 7.200 0 14.022 1 104010 104011 0 4 2 2 PP0(CE-)L1/C01_FO_1_2 PP0(CE-)L1/C01_FO_2_3 A B PP1(CE-)5_FO_1_2 PP1(CE-)3_FO_2_3 Ap Ap PPFO(CE-)X5_9 DAQ_1_6
1 4 2 FI MH-F2W 507.020 292.730 3.000 6 507.000 195.900 590.800 244.400 590.800 341.200 507.000 389.500 423.200 341.200 423.200 244.400 507.000 195.900 1 5.070 6.000 2.068 3.000 2.210 3.000 3 0 False 6 7.200 0 30.000 1 104020 104021 0 2 1 1 PP0(CE-)L1/C01_FO_1_1 PP0(CE-)L1/C01_FO_2_1 A A PP1(CE-)5_FO_1_1 PP1(CE-)3_FO_2_1 Ap Ap PPFO(CE-)X5_3 DAQ_1_2
1 4 3 FI MH-F2W 423.200 437.900 4.000 6 423.200 341.200 507.000 389.500 507.000 486.300 423.200 534.700 339.400 486.300 339.400 389.500 423.200 341.200 1 4.799 5.000 1.971 3.000 2.087 3.000 2 0 False 6 7.200 0 45.978 1 104030 104031 0 3 2 2 PP0(CE-)L1/C01_FO_1_3 PP0(CE-)L1/C01_FO_2_2 C A PP1(CE-)5_FO_1_3 PP1(CE-)3_FO_2_2 Ap Ap PPFO(CE-)X5_5 DAQ_1_3
1 4 4 FI MH-F2W 335.278 585.458 4.000 6 419.103 537.107 419.087 633.880 335.343 682.230 251.440 633.907 251.493 536.998 335.237 488.648 419.103 537.107 2 4.185 5.000 1.738 2.000 1.808 2.000 100 0 True 6 7.200 0 60.201 1 104040 104041 0 3 2 2 PP0(CE-)L1/C02_FO_1_2 PP0(CE-)L1/C02_FO_2_2 A A PP1(CE-)11_FO_1_2 PP1(CE-)9_FO_2_2 Ap Ap PPFO(CE-)X5_19 DAQ_2_6
1 4 5 FI MH-F2W 251.458 730.638 4.000 6 335.343 682.230 335.240 779.053 251.496 827.403 167.593 779.080 167.696 682.257 251.440 633.907 335.343 682.230 2 3.425 4.000 1.484 2.000 1.512 2.000 101 0 True 6 7.200 0 71.008 1 104050 104051 0 4 2 2 PP0(CE-)L1/C02_FO_1_2 PP0(CE-)L1/C02_FO_2_3 A B PP1(CE-)11_FO_1_2 PP1(CE-)9_FO_2_3 Ap Ap PPFO(CE-)X5_19 DAQ_2_6
1 4 6 FM ML-F3W 167.638 875.818 1.000 6 251.496 827.403 251.393 924.226 167.562 972.626 83.833 924.203 83.762 827.480 167.593 779.080 251.496 827.403 2 2.924 3.000 1.011 2.000 0.985 2.000 107 0 False 3 3.600 0 79.164 0 104060 104060 0 2 1 1 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_13 DAQ_2_2
1 4 7 FO ML-F3W 83.827 1020.993 1.000 6 167.562 972.626 167.633 1069.349 83.802 1117.749 -0.014 1069.376 0.002 972.603 83.833 924.203 167.562 972.626 2 2.549 3.000 0.834 1.000 0.793 1.000 110 0 False 3 3.600 0 85.306 0 104070 104070 0 2 1 1 PP0(CE-)L1/C02_FO_1_2 PP0(CE-)L1/C02_FO_2_2 A A PP1(CE-)11_FO_1_2 PP1(CE-)9_FO_2_2 Ap Ap PPFO(CE-)X5_19 DAQ_2_6
1 4 8 FO ML-F3W -0.006 1166.170 1.000 6 83.802 1117.749 83.836 1214.609 0.005 1263.009 -83.861 1214.549 -83.845 1117.776 -0.014 1069.376 83.802 1117.749 2 2.187 3.000 0.690 1.000 0.658 1.000 111 0 True 3 3.600 0 90.000 0 104080 104080 0 2 1 1 PP0(CE-)L1/C02_FO_1_3 PP0(CE-)L1/C02_FO_2_2 C A PP1(CE-)11_FO_1_3 PP1(CE-)9_FO_2_2 Ap Ap PPFO(CE-)X5_15 DAQ_2_3
1 4 9 FO ML-F3W -83.820 1311.359 5.000 6 0.005 1263.009 -0.011 1359.782 -83.842 1408.182 -167.571 1359.759 -167.692 1262.949 -83.861 1214.549 0.005 1263.009 2 1.698 2.000 0.563 1.000 0.549 1.000 111 0 False 3 3.600 0 93.657 0 104090 104090 0 2 1 1 PP0(CE-)L1/C02_FO_1_3 PP0(CE-)L1/C02_FO_2_2 C A PP1(CE-)11_FO_1_3 PP1(CE-)9_FO_2_2 Ap Ap PPFO(CE-)X5_15 DAQ_2_3
1 4 10 bOeLR ML-53W -167.640 1456.539 3.000 5 -83.771 1504.904 -251.418 1504.932 -251.489 1408.209 -167.571 1359.759 -83.842 1408.182 -83.771 1504.904 0.000 0.000 2 1.214 2.000 0.382 1.000 0.382 1.000 111 0 False 3 3.600 0 96.566 0 104100 104100 0 2 1 1 PP0(CE-)L1/C02_FO_1_3 PP0(CE-)L1/C02_FO_2_2 C A PP1(CE-)11_FO_1_3 PP1(CE-)9_FO_2_2 Ap Ap PPFO(CE-)X5_15 DAQ_2_3
1 5 0 FM ML-F3W 842.300 2.370 0.000 6 842.300 -94.400 926.100 -46.000 926.100 50.700 842.300 99.200 758.500 50.700 758.500 -46.000 842.300 -94.400 1 3.172 4.000 1.109 2.000 1.086 2.000 9 0 False 3 3.600 0 0.161 0 105000 105000 0 2 1 1 PP0(CE-)L1/C01_FO_1_2 PP0(CE-)L1/C01_FO_2_2 A A PP1(CE-)5_FO_1_2 PP1(CE-)3_FO_2_2 Ap Ap PPFO(CE-)X5_9 DAQ_1_6
1 5 1 FI MH-F2W 758.480 147.550 3.000 6 758.500 50.700 842.300 99.200 842.300 195.900 758.500 244.400 674.700 195.900 674.700 99.200 758.500 50.700 1 3.425 4.000 1.484 2.000 1.512 2.000 1 0 True 6 7.200 0 11.008 1 105010 105011 0 4 2 2 PP0(CE-)L1/C01_FO_1_2 PP0(CE-)L1/C01_FO_2_3 A B PP1(CE-)5_FO_1_2 PP1(CE-)3_FO_2_3 Ap Ap PPFO(CE-)X5_9 DAQ_1_6
1 5 2 FI MH-F2W 674.660 292.730 3.000 6 674.700 195.900 758.500 244.400 758.500 341.200 674.700 389.500 590.800 341.200 590.800 244.400 674.700 195.900 1 3.693 4.000 1.568 2.000 1.607 2.000 3 0 True 6 7.200 0 23.456 1 105020 105021 0 2 1 1 PP0(CE-)L1/C01_FO_1_1 PP0(CE-)L1/C01_FO_2_1 A A PP1(CE-)5_FO_1_1 PP1(CE-)3_FO_2_1 Ap Ap PPFO(CE-)X5_3 DAQ_1_2
1 5 3 FI MH-F2W 590.840 437.900 3.000 6 590.800 341.200 674.700 389.500 674.700 486.300 590.800 534.700 507.000 486.300 507.000 389.500 590.800 341.200 1 3.661 4.000 1.568 2.000 1.605 2.000 3 0 False 6 7.200 0 36.544 1 105030 105031 0 2 1 1 PP0(CE-)L1/C01_FO_1_1 PP0(CE-)L1/C01_FO_2_1 A A PP1(CE-)5_FO_1_1 PP1(CE-)3_FO_2_1 Ap Ap PPFO(CE-)X5_3 DAQ_1_2
1 5 4 FI MH-F2W 507.020 583.090 4.000 6 507.000 486.300 590.800 534.700 590.800 631.500 507.000 679.900 423.200 631.500 423.200 534.700 507.000 486.300 1 3.419 4.000 1.479 2.000 1.507 2.000 2 0 True 6 7.200 0 48.992 1 105040 105041 0 3 2 2 PP0(CE-)L1/C01_FO_1_3 PP0(CE-)L1/C01_FO_2_2 C A PP1(CE-)5_FO_1_3 PP1(CE-)3_FO_2_2 Ap Ap PPFO(CE-)X5_5 DAQ_1_3
1 5 5 FM ML-F3W 419.098 730.638 1.000 6 502.903 682.253 502.887 779.026 419.143 827.376 335.240 779.053 335.343 682.230 419.087 633.880 502.903 682.253 2 3.172 4.000 1.109 2.000 1.086 2.000 109 0 False 3 3.600 0 60.161 0 105050 105050 0 2 1 1 PP0(CE-)L1/C02_FO_1_2 PP0(CE-)L1/C02_FO_2_2 A A PP1(CE-)11_FO_1_2 PP1(CE-)9_FO_2_2 Ap Ap PPFO(CE-)X5_19 DAQ_2_6
1 5 6 FO ML-F3W 335.278 875.818 1.000 6 419.143 827.376 419.040 924.199 335.296 972.549 251.393 924.226 251.496 827.403 335.240 779.053 419.143 827.376 2 2.910 3.000 0.957 1.000 0.911 1.000 108 0 False 3 3.600 0 69.052 0 105060 105060 0 2 1 1 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_13 DAQ_2_2
1 5 7 FO ML-F3W 251.453 1020.990 1.000 6 335.296 972.549 335.243 1069.459 251.412 1117.859 167.633 1069.349 167.562 972.626 251.393 924.226 335.296 972.549 2 2.439 3.000 0.802 1.000 0.763 1.000 107 0 True 3 3.600 0 76.164 0 105070 105070 0 2 1 1 PP0(CE-)L1/C02_FO_1_1 PP0(CE-)L1/C02_FO_2_1 A A PP1(CE-)11_FO_1_1 PP1(CE-)9_FO_2_1 Ap Ap PPFO(CE-)X5_13 DAQ_2_2
1 5 8 FO ML-F3W 167.647 1166.174 1.000 6 251.412 1117.859 251.483 1214.582 167.652 1262.982 83.836 1214.609 83.802 1117.749 167.633 1069.349 251.412 1117.859 2 2.190 3.000 0.677 1.000 0.646 1.000 110 0 True 3 3.600 0 81.819 0 105080 105080 0 2 1 1 PP0(CE-)L1/C02_FO_1_2 PP0(CE-)L1/C02_FO_2_2 A A PP1(CE-)11_FO_1_2 PP1(CE-)9_FO_2_2 Ap Ap PPFO(CE-)X5_19 DAQ_2_6
1 5 9 FO ML-F3W 83.819 1311.359 1.000 6 167.652 1262.982 167.636 1359.754 83.805 1408.154 -0.011 1359.782 0.005 1263.009 83.836 1214.609 167.652 1262.982 2 1.691 2.000 0.563 1.000 0.549 1.000 111 1 False 3 3.600 0 86.343 0 105090 105090 0 2 1 1 PP0(CE-)L1/C02_FO_1_3 PP0(CE-)L1/C02_FO_2_2 C A PP1(CE-)11_FO_1_3 PP1(CE-)9_FO_2_2 Ap Ap PPFO(CE-)X5_15 DAQ_2_3
1 5 10 dOeR ML-R3W -0.000 1456.539 0.000 5 83.805 1408.154 83.884 1456.491 -83.813 1456.431 -83.842 1408.182 -0.011 1359.782 83.805 1408.154 0.000 0.000 2 1.026 2.000 0.226 1.000 0.226 1.000 111 1 False 2 2.400 0 90.000 0 105100 105100 0 2 1 1 PP0(CE-)L1/C02_FO_1_3 PP0(CE-)L1/C02_FO_2_2 C A PP1(CE-)11_FO_1_3 PP1(CE-)9_FO_2_2 Ap Ap PPFO(CE-)X5_15 DAQ_2_3
1 6 0 FO ML-F3W 1009.930 2.370 0.000 6 1009.900 -94.400 1093.800 -46.000 1093.800 50.700 1009.900 99.200 926.100 50.700 926.100 -46.000 1009.900 -94.400 1 2.620 3.000 0.850 1.000 0.809 1.000 9 0 True 3 3.600 0 0.134 0 106000 106000 0 2 1 1 PP0(CE-)L1/C01_FO_1_2 PP0(CE-)L1/C01_FO_2_2 A A PP1(CE-)5_FO_1_2 PP1(CE-)3_FO_2_2 Ap Ap PPFO(CE-)X5_9 DAQ_1_6
